name,ats,slug,monitor,seeded,priority,notes
TD Bank,workday,td.wd3.myworkdayjobs.com/TD_Bank_Careers,TRUE,FALSE,FALSE,bank
Texas Capital Bank,workday,texascapitalbank.wd12.myworkdayjobs.com/Careers,TRUE,FALSE,FALSE,bank
TIAA,workday,tiaa.wd1.myworkdayjobs.com/Search,TRUE,FALSE,FALSE,bank
Truist,workday,truist.wd1.myworkdayjobs.com/Careers,TRUE,FALSE,FALSE,bank
U.S. Bank,workday,usbank.wd1.myworkdayjobs.com/US_Bank_Careers,TRUE,FALSE,FALSE,bank
UMB Bank,workday,umb.wd1.myworkdayjobs.com/UMBExternal,TRUE,FALSE,FALSE,bank
USAA,workday,usaa.wd1.myworkdayjobs.com/USAAJOBSWD,TRUE,FALSE,FALSE,bank
Western Alliance Bank,workday,westernalliancebank.wd5.myworkdayjobs.com/WAB,TRUE,FALSE,FALSE,bank
Archer Aviation,greenhouse,archer,TRUE,FALSE,FALSE,climate-frontier
Astranis,greenhouse,astranis,TRUE,FALSE,FALSE,climate-frontier
Boom Supersonic,ashby,boom,TRUE,FALSE,FALSE,climate-frontier
Commonwealth Fusion Systems,lever,cfsenergy,TRUE,FALSE,FALSE,climate-frontier
Form Energy,ashby,formenergy,TRUE,FALSE,FALSE,climate-frontier
Heart Aerospace,greenhouse,heartaerospace,TRUE,FALSE,FALSE,climate-frontier
Helion Energy,ashby,helion,TRUE,FALSE,FALSE,climate-frontier
KoBold Metals,greenhouse,koboldmetals,TRUE,FALSE,FALSE,climate-frontier
Planet Labs,greenhouse,planetlabs,TRUE,FALSE,FALSE,climate-frontier
Rocket Lab,greenhouse,rocketlab,TRUE,FALSE,FALSE,climate-frontier
Twelve,ashby,twelve,TRUE,FALSE,FALSE,climate-frontier
Watershed,greenhouse,watershed,TRUE,FALSE,FALSE,climate-frontier
Angi,ashby,angi,TRUE,FALSE,FALSE,consumer-marketplace
Attentive,greenhouse,attentive,TRUE,FALSE,FALSE,consumer-marketplace
BetterUp,ashby,betterup,TRUE,FALSE,FALSE,consumer-marketplace
Bumble,ashby,bumble,TRUE,FALSE,FALSE,consumer-marketplace
Calm,greenhouse,calm,TRUE,FALSE,FALSE,consumer-marketplace
Chewy,workday,chewy.wd5.myworkdayjobs.com/External,TRUE,FALSE,FALSE,consumer-marketplace
ChowNow,lever,chownow,TRUE,FALSE,FALSE,consumer-marketplace
Compass,greenhouse,urbancompass,TRUE,FALSE,FALSE,consumer-marketplace
Coursera,greenhouse,coursera,TRUE,FALSE,FALSE,consumer-marketplace
DoorDash,greenhouse,doordashusa,TRUE,FALSE,FALSE,consumer-marketplace
Eventbrite,greenhouse,eventbriteinc,TRUE,FALSE,FALSE,consumer-marketplace
Fetch,greenhouse,fetch,TRUE,FALSE,FALSE,consumer-marketplace
Glassdoor,greenhouse,glassdoor,TRUE,FALSE,FALSE,consumer-marketplace
GOAT Group,greenhouse,goatgroup,TRUE,FALSE,FALSE,consumer-marketplace
Gopuff,lever,gopuff,TRUE,FALSE,FALSE,consumer-marketplace
Handshake,ashby,handshake,TRUE,FALSE,FALSE,consumer-marketplace
Headway,greenhouse,headway,TRUE,FALSE,FALSE,consumer-marketplace
Hinge,ashby,hinge,TRUE,FALSE,FALSE,consumer-marketplace
