name,ats,slug,monitor,seeded,priority,notes
ComplyAdvantage,greenhouse,complyadvantage,TRUE,FALSE,FALSE,fintech-infra
Cross River,greenhouse,crossriverbank,TRUE,FALSE,FALSE,fintech-infra
DriveWealth,greenhouse,drivewealth,TRUE,FALSE,FALSE,fintech-infra
Dwolla,lever,dwolla,TRUE,FALSE,FALSE,fintech-infra
Equifax,workday,equifax.wd5.myworkdayjobs.com/External,TRUE,FALSE,FALSE,fintech-infra
Experian,smartrec,experian,TRUE,FALSE,FALSE,fintech-infra
Feedzai,greenhouse,feedzai,TRUE,FALSE,FALSE,fintech-infra
FICO,workday,fico.wd1.myworkdayjobs.com/External,TRUE,FALSE,FALSE,fintech-infra
Finch,ashby,finch,TRUE,FALSE,FALSE,fintech-infra
Finix,lever,finix,TRUE,FALSE,FALSE,fintech-infra
FIS,workday,fis.wd5.myworkdayjobs.com/SearchJobs,TRUE,FALSE,FALSE,fintech-infra
Fiserv,workday,fiserv.wd5.myworkdayjobs.com/EXT,TRUE,FALSE,FALSE,fintech-infra
Footprint,ashby,footprint,TRUE,FALSE,FALSE,fintech-infra
Forter,greenhouse,forter,TRUE,FALSE,FALSE,fintech-infra
Global Payments,workday,tsys.wd1.myworkdayjobs.com/Tsys,TRUE,FALSE,FALSE,fintech-infra
Highnote,greenhouse,highnote,TRUE,FALSE,TRUE,fintech-infra
Incode,greenhouse,incode,TRUE,FALSE,FALSE,fintech-infra
Jack Henry,radancy,careers.jackhenry.com,TRUE,FALSE,FALSE,fintech-infra
Jumio,greenhouse,jumio,TRUE,FALSE,FALSE,fintech-infra
Merge,greenhouse,merge,TRUE,FALSE,FALSE,fintech-infra
Middesk,ashby,middesk,TRUE,FALSE,FALSE,fintech-infra
Morningstar,workday,morningstar.wd5.myworkdayjobs.com/Morningstar,TRUE,FALSE,FALSE,fintech-infra
Nasdaq,workday,nasdaq.wd1.myworkdayjobs.com/Global_External_Site,TRUE,FALSE,FALSE,fintech-infra
nCino,workday,ncino.wd5.myworkdayjobs.com/ncinocareers,TRUE,FALSE,FALSE,fintech-infra
Nium,lever,nium,TRUE,FALSE,FALSE,fintech-infra
Orum,ashby,orum,TRUE,FALSE,FALSE,fintech-infra
Pinwheel,greenhouse,pinwheelapi,TRUE,FALSE,FALSE,fintech-infra
Prove,greenhouse,prove,TRUE,FALSE,FALSE,fintech-infra
Q2,workday,q2ebanking.wd5.myworkdayjobs.com/Q2,TRUE,FALSE,FALSE,fintech-infra
Riskified,greenhouse,riskified,TRUE,FALSE,FALSE,fintech-infra
Rutter,ashby,rutter,TRUE,FALSE,FALSE,fintech-infra
SentiLink,ashby,sentilink,TRUE,FALSE,FALSE,fintech-infra
Sift,ashby,sift,TRUE,FALSE,FALSE,fintech-infra
Synctera,ashby,synctera,TRUE,FALSE,FALSE,fintech-infra
TransUnion,workday,transunion.wd5.myworkdayjobs.com/Transunion,TRUE,FALSE,FALSE,fintech-infra
Treasury Prime,greenhouse,treasuryprime,TRUE,FALSE,FALSE,fintech-infra
Trustly,ashby,trustly,TRUE,FALSE,FALSE,fintech-infra
Truv,lever,truv,TRUE,FALSE,FALSE,fintech-infra
Veriff,greenhouse,veriff,TRUE,FALSE,FALSE,fintech-infra
Vertex Inc,workday,vertexinc.wd1.myworkdayjobs.com/Vertexinc,TRUE,FALSE,FALSE,fintech-infra
WEX,workday,wexinc.wd5.myworkdayjobs.com/Wexinc,TRUE,FALSE,FALSE,fintech-infra
Zuora,greenhouse,zuora,TRUE,FALSE,FALSE,fintech-infra
Abbott,workday,abbott.wd5.myworkdayjobs.com/abbottcareers,TRUE,FALSE,FALSE,healthtech
athenahealth,workday,athenahealth.wd1.myworkdayjobs.com/External,TRUE,FALSE,FALSE,healthtech
Charlie Health,greenhouse,charliehealth,TRUE,FALSE,FALSE,healthtech
CVS Health,workday,cvshealth.wd1.myworkdayjobs.com/CVS_Health_Careers,TRUE,FALSE,FALSE,healthtech
Devoted Health,smartrec,devotedhealth,TRUE,FALSE,FALSE,healthtech
Doximity,greenhouse,doximity,TRUE,FALSE,FALSE,healthtech
Eight Sleep,ashby,eightsleep,TRUE,FALSE,FALSE,healthtech
Flatiron Health,greenhouse,flatironhealth,TRUE,FALSE,FALSE,healthtech
Grow Therapy,ashby,grow-therapy,TRUE,FALSE,FALSE,healthtech
Hims & Hers,ashby,hims-and-hers,TRUE,FALSE,FALSE,healthtech
Hinge Health,ashby,hinge-health,TRUE,FALSE,FALSE,healthtech
Included Health,lever,includedhealth,TRUE,FALSE,FALSE,healthtech
Komodo Health,greenhouse,komodohealth,TRUE,FALSE,FALSE,healthtech
Levels,ashby,levels,TRUE,FALSE,FALSE,healthtech
Lyra Health,ashby,lyrahealth,TRUE,FALSE,FALSE,healthtech
Maven Clinic,greenhouse,mavenclinic,TRUE,FALSE,FALSE,healthtech
McKesson,workday,mckesson.wd3.myworkdayjobs.com/External_Careers,TRUE,FALSE,FALSE,healthtech
Omada Health,greenhouse,omadahealth,TRUE,FALSE,FALSE,healthtech
Oscar Health,greenhouse,oscar,TRUE,FALSE,FALSE,healthtech
Oura,greenhouse,oura,TRUE,FALSE,FALSE,healthtech
Peloton,greenhouse,peloton,TRUE,FALSE,FALSE,healthtech
Recursion Pharma,greenhouse,recursionpharmaceuticals,TRUE,FALSE,FALSE,healthtech
Redox,lever,redoxengine,TRUE,FALSE,FALSE,healthtech
Rula,ashby,rula,TRUE,FALSE,FALSE,healthtech
SonderMind,ashby,sondermind,TRUE,FALSE,FALSE,healthtech
Spring Health,ashby,spring-health,TRUE,FALSE,FALSE,healthtech
Stryker,workday,stryker.wd1.myworkdayjobs.com/strykercareers,TRUE,FALSE,FALSE,healthtech
Sword Health,lever,swordhealth,TRUE,FALSE,FALSE,healthtech
Talkiatry,ashby,talkiatry,TRUE,FALSE,FALSE,healthtech
Teladoc Health,smartrec,teladochealth,TRUE,FALSE,FALSE,healthtech
Tempus AI,workday,tempus.wd5.myworkdayjobs.com/Tempus_Careers,TRUE,FALSE,FALSE,healthtech
Thirty Madison,greenhouse,thirtymadison,TRUE,FALSE,FALSE,healthtech
Truveta,greenhouse,truveta,TRUE,FALSE,FALSE,healthtech
Two Chairs,greenhouse,twochairs,TRUE,FALSE,FALSE,healthtech
Veeva Systems,lever,veeva,TRUE,FALSE,FALSE,healthtech
Virta Health,ashby,virtahealth,TRUE,FALSE,FALSE,healthtech
Zocdoc,greenhouse,zocdoc,TRUE,FALSE,FALSE,healthtech
DigitalOcean,greenhouse,digitalocean98,TRUE,FALSE,FALSE,infra
Fastly,greenhouse,fastly,TRUE,FALSE,FALSE,infra
Netlify,greenhouse,netlify,TRUE,FALSE,FALSE,infra
Railway,ashby,railway,TRUE,FALSE,FALSE,infra
Vultr,ashby,vultr,TRUE,FALSE,FALSE,infra
AIG,workday,aig.wd1.myworkdayjobs.com/aig,TRUE,FALSE,FALSE,insurance
At-Bay,greenhouse,atbay,TRUE,FALSE,FALSE,insurance
CCC Intelligent Solutions,workday,cccis.wd1.myworkdayjobs.com/Cccis,TRUE,FALSE,FALSE,insurance
Cigna,workday,cigna.wd5.myworkdayjobs.com/cignacareers,TRUE,FALSE,FALSE,insurance
CNA Insurance,workday,cna.wd1.myworkdayjobs.com/CNA_Careers,TRUE,FALSE,FALSE,insurance
Coalition,greenhouse,coalition,TRUE,FALSE,FALSE,insurance
Corebridge Financial,workday,corebridgefinancial.wd1.myworkdayjobs.com/CorebridgeFinancial,TRUE,FALSE,FALSE,insurance
Duck Creek,workday,duckcreek.wd1.myworkdayjobs.com/duckcreekcareers,TRUE,FALSE,FALSE,insurance
Ethos Life,greenhouse,ethoslife,TRUE,FALSE,FALSE,insurance
Federato,greenhouse,federato,TRUE,FALSE,FALSE,insurance
Guidewire,workday,guidewire.wd5.myworkdayjobs.com/External,TRUE,FALSE,FALSE,insurance
Hagerty,workday,hagerty.wd5.myworkdayjobs.com/hagerty,TRUE,FALSE,FALSE,insurance
Markel,workday,markelcorp.wd5.myworkdayjobs.com/GlobalCareers,TRUE,FALSE,FALSE,insurance
Marsh McLennan,workday,mmc.wd1.myworkdayjobs.com/Mmc,TRUE,FALSE,FALSE,insurance
Newfront,ashby,newfront,TRUE,FALSE,FALSE,insurance
Northwestern Mutual,smartrec,northwesternmutual,TRUE,FALSE,FALSE,insurance
Prudential Financial,workday,pru.wd5.myworkdayjobs.com/Careers,TRUE,FALSE,FALSE,insurance
RLI Corp,workday,rlicorp.wd1.myworkdayjobs.com/RLI_Corp_Careers,TRUE,FALSE,FALSE,insurance
Root Insurance,greenhouse,root,TRUE,FALSE,FALSE,insurance
Travelers,workday,travelers.wd5.myworkdayjobs.com/External,TRUE,FALSE,FALSE,insurance
Vouch Insurance,smartrec,vouch,TRUE,FALSE,FALSE,insurance
Axiom,ashby,axiom,TRUE,FALSE,FALSE,observability
New Relic,greenhouse,newrelic,TRUE,FALSE,FALSE,observability
Sumo Logic,greenhouse,sumologic,TRUE,FALSE,FALSE,observability
AbbVie,smartrec,abbvie,TRUE,FALSE,FALSE,pharma
Amgen,workday,amgen.wd1.myworkdayjobs.com/Careers,TRUE,FALSE,FALSE,pharma
AstraZeneca,workday,astrazeneca.wd3.myworkdayjobs.com/Careers,TRUE,FALSE,FALSE,pharma
Bristol Myers Squibb,workday,bristolmyerssquibb.wd5.myworkdayjobs.com/BMS,TRUE,FALSE,FALSE,pharma
Gilead Sciences,workday,gilead.wd1.myworkdayjobs.com/gileadcareers,TRUE,FALSE,FALSE,pharma
Johnson & Johnson,workday,jj.wd5.myworkdayjobs.com/JJ,TRUE,FALSE,FALSE,pharma
Moderna,workday,modernatx.wd1.myworkdayjobs.com/M_tx,TRUE,FALSE,FALSE,pharma
Pfizer,workday,pfizer.wd1.myworkdayjobs.com/PfizerCareers,TRUE,FALSE,FALSE,pharma
Regeneron,workday,regeneron.wd1.myworkdayjobs.com/Careers,TRUE,FALSE,FALSE,pharma
Takeda,workday,takeda.wd3.myworkdayjobs.com/External,TRUE,FALSE,FALSE,pharma
Zoetis,workday,zoetis.wd5.myworkdayjobs.com/zoetis,TRUE,FALSE,FALSE,pharma
Chainguard,greenhouse,chainguard,TRUE,FALSE,FALSE,security
Dashlane,greenhouse,dashlane,TRUE,FALSE,FALSE,security
Endor Labs,greenhouse,endorlabs,TRUE,FALSE,FALSE,security
Expel,greenhouse,expel,TRUE,FALSE,FALSE,security
Huntress,greenhouse,huntress,TRUE,FALSE,FALSE,security
KnowBe4,greenhouse,knowbe4,TRUE,FALSE,FALSE,security
Material Security,ashby,material,TRUE,FALSE,FALSE,security
Netskope,greenhouse,netskope,TRUE,FALSE,FALSE,security
Orca Security,greenhouse,orcasecurity,TRUE,FALSE,FALSE,security
Ping Identity,greenhouse,pingidentity,TRUE,FALSE,FALSE,security
Proofpoint,workday,proofpoint.wd5.myworkdayjobs.com/proofpointcareers,TRUE,FALSE,FALSE,security
Qualys,workday,qualys.wd5.myworkdayjobs.com/Careers,TRUE,FALSE,FALSE,security
SailPoint,workday,sailpoint.wd1.myworkdayjobs.com/Sailpoint,TRUE,FALSE,FALSE,security
Secureframe,lever,secureframe,TRUE,FALSE,FALSE,security
Semgrep,ashby,semgrep,TRUE,FALSE,FALSE,security
SentinelOne,greenhouse,sentinellabs,TRUE,FALSE,FALSE,security
Snyk,ashby,snyk,TRUE,FALSE,FALSE,security
Socket,ashby,socket,TRUE,FALSE,FALSE,security
Sonatype,lever,sonatype,TRUE,FALSE,FALSE,security
Sysdig,lever,sysdig,TRUE,FALSE,FALSE,security
Torq,greenhouse,torq,TRUE,FALSE,FALSE,security
Twingate,lever,twingate,TRUE,FALSE,FALSE,security
Veracode,greenhouse,veracode,TRUE,FALSE,FALSE,security
Zscaler,greenhouse,zscaler,TRUE,FALSE,FALSE,security
